word,c1,c2,c3,pwc1,pwc2,pwc3,count_doc_cl1,count_doc_cl2,count_doc_cl3,count_doc_len1,count_doc_len2,count_doc_len3
алгебра,6,0,0,0.0011918951132300357,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
хопф,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
граф,207,0,0,0.01481059527200228,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
при,23,9,16,0.001708185053380783,0.001692047377326565,0.002628730477810422,4,3,3,11991,3857,4414
обсуждение,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
теневой,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
исчисление,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
мы,29,0,12,0.002134927412467976,0.00016920473773265651,0.0020102056595020876,4,3,3,11991,3857,4414
выяснить,2,0,1,0.000510812191384301,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
что,63,4,34,0.0045444862600298236,0.0008460236886632825,0.005412092160197928,4,3,3,11991,3857,4414
оно,6,0,5,0.0004965595516776619,0.00016920473773265651,0.000927787227462502,4,3,3,11991,3857,4414
тесно,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
связать,6,1,1,0.0011918951132300357,0.00033840947546531303,0.0003092624091541673,3,3,3,3820,3857,4414
с,68,46,55,0.004908586469374689,0.007952622673434856,0.008659347456316685,4,3,3,11991,3857,4414
структура,13,1,27,0.0009960868018498755,0.00033840947546531303,0.004329673728158343,4,3,3,11991,3857,4414
градуировать,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
коалгебра,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
на,65,43,56,0.004699181203275187,0.007445008460236886,0.008813978660893769,4,3,3,11991,3857,4414
пространство,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
многочлен,7,0,0,0.0013621658436914694,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
от,14,19,19,0.0010651139671944898,0.00338409475465313,0.003092624091541673,4,3,3,11991,3857,4414
один,18,2,23,0.001350582883139039,0.0005076142131979696,0.003711148909850008,4,3,3,11991,3857,4414
переменный,6,0,0,0.0004979016999786613,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
этот,26,0,19,0.0019092066185829445,0.00016920473773265651,0.003092624091541673,4,3,3,11991,3857,4414
естественный,3,0,13,0.0006810829218457347,0.00016920473773265651,0.0021648368640791713,3,3,3,3820,3857,4414
образ,9,2,9,0.000711288142826659,0.0005076142131979696,0.0015463120457708365,4,3,3,11991,3857,4414
распространяться,3,1,0,0.00028290543885706204,0.00033840947546531303,0.00015463120457708364,4,3,3,11991,3857,4414
и,116,176,120,0.008329773601025202,0.029949238578680204,0.018710375753827124,4,3,3,11991,3857,4414
многий,5,0,9,0.001021624382768602,0.00016920473773265651,0.0015463120457708365,3,3,3,3820,3857,4414
в,149,174,170,0.01067995728017088,0.02961082910321489,0.026441935982681304,4,3,3,11991,3857,4414
глава,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
приводить,4,0,3,0.0008513536523071684,0.00016920473773265651,0.0006185248183083346,3,3,3,3820,3857,4414
ещё,5,0,3,0.0004264998578333807,0.00016920473773265651,0.0006185248183083346,4,3,3,11991,3857,4414
пример,11,1,1,0.0008511845651865513,0.00033840947546531303,0.0003092624091541673,4,3,3,11991,3857,4414
коалгебраический,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
также,10,17,9,0.0007830853563038371,0.003045685279187817,0.0015463120457708365,4,3,3,11991,3857,4414
число,27,12,6,0.004767580452920143,0.0021996615905245345,0.0010824184320395857,3,3,3,3820,3857,4414
вершина,159,0,14,0.011391954432182272,0.00016920473773265651,0.002319468068656255,4,3,3,11991,3857,4414
добавить,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
к,26,3,24,0.0019217081850533809,0.0006768189509306261,0.0038657801144270916,4,3,3,11991,3857,4414
коумножение,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
умножение,6,0,0,0.0011918951132300357,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
породить,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
несвязный,6,0,0,0.0011918951132300357,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
объединение,9,0,0,0.0007076640011322624,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
получать,5,0,0,0.0004260153365521159,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
биалгебра,21,0,0,0.0037459560701515408,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
свойство,7,3,2,0.0005667327854916407,0.0006768189509306261,0.000463893613731251,4,3,3,11991,3857,4414
инвариант,33,0,0,0.0024158021884325706,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
наличие,2,1,9,0.00021341680301629082,0.00033840947546531303,0.0015463120457708365,4,3,3,11991,3857,4414
большинство,1,0,5,0.00034054146092286734,0.00016920473773265651,0.000927787227462502,3,3,3,3820,3857,4414
из,36,6,29,0.0026297085998578536,0.0011844331641285956,0.00463893613731251,4,3,3,11991,3857,4414
рассматриваться,11,0,1,0.0008526360665056132,0.00016920473773265651,0.0003092624091541673,4,3,3,11991,3857,4414
предыдущий,2,0,1,0.00021232925189326916,0.00016920473773265651,0.0003092624091541673,4,3,3,11991,3857,4414
лекция,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
являться,39,12,23,0.002845962290999644,0.0021996615905245345,0.003711148909850008,4,3,3,11991,3857,4414
мультипликативный,4,0,0,0.0008513536523071684,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
они,38,14,14,0.002775998291693359,0.0025380710659898475,0.002319468068656255,4,3,3,11991,3857,4414
значение,14,12,3,0.0010670840150814541,0.0021996615905245345,0.0006185248183083346,4,3,3,11991,3857,4414
равно,2,0,1,0.000510812191384301,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
произведение,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
каждый,22,4,13,0.001634916121694626,0.0008460236886632825,0.0021648368640791713,4,3,3,11991,3857,4414
объединять,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
тот,18,16,30,0.0013473266203375407,0.002876480541455161,0.004793567341889593,4,3,3,11991,3857,4414
факт,2,1,1,0.000510812191384301,0.00033840947546531303,0.0003092624091541673,3,3,3,3820,3857,4414
это,45,3,37,0.0032726237905520775,0.0006768189509306261,0.005875985773929179,4,3,3,11991,3857,4414
присущий,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
большой,3,0,4,0.0002835672763363108,0.00016920473773265651,0.0007731560228854183,4,3,3,11991,3857,4414
количество,2,0,3,0.000510812191384301,0.00016920473773265651,0.0006185248183083346,3,3,3,3820,3857,4414
интересный,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
навести,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
татта,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
мысль,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
рассматривать,5,0,3,0.00042637862421830583,0.00016920473773265651,0.0006185248183083346,4,3,3,11991,3857,4414
как,23,1,29,0.001708914839077186,0.00033840947546531303,0.00463893613731251,4,3,3,11991,3857,4414
кольцо,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
а,28,16,19,0.0020644977575282977,0.002876480541455161,0.003092624091541673,4,3,3,11991,3857,4414
гомоморфизм,7,0,0,0.0013621658436914694,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
соображение,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
удобство,1,1,0,0.00034054146092286734,0.00033840947546531303,0.00015463120457708364,3,3,3,3820,3857,4414
язык,21,1,37,0.0037459560701515408,0.00033840947546531303,0.005875985773929179,3,3,3,3820,3857,4414
быть,36,9,30,0.00263438946244215,0.001692047377326565,0.004793567341889593,4,3,3,11991,3857,4414
брать,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
качество,5,7,4,0.00042559228259327563,0.0013536379018612521,0.0007731560228854183,4,3,3,11991,3857,4414
базовый,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
пол,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
c,18,0,0,0.0032351438787672398,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
комплексный,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
не,35,5,26,0.00255863539445629,0.0010152284263959391,0.0041750425235812585,4,3,3,11991,3857,4414
целый,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
z,1,0,2,0.00034054146092286734,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
говорить,9,0,1,0.0017027073046143367,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
о,3,59,15,0.0006810829218457347,0.01015228426395939,0.0024740992732333383,3,3,3,3820,3857,4414
над,2,0,1,0.000510812191384301,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
поле,1,3,0,0.00034054146092286734,0.0006768189509306261,0.00015463120457708364,3,3,3,3820,3857,4414
определение,18,4,3,0.0032351438787672398,0.0008460236886632825,0.0006185248183083346,3,3,3,3820,3857,4414
g,64,0,0,0.01106759747999319,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
называться,18,0,2,0.0013527945888216447,0.00016920473773265651,0.000463893613731251,4,3,3,11991,3857,4414
бесконечномерный,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
единица,1,0,2,0.00034054146092286734,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
r,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
простой,7,0,4,0.0005691924581999289,0.00016920473773265651,0.0007731560228854183,4,3,3,11991,3857,4414
связный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
образующая,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
который,21,17,27,0.0015658362989323844,0.003045685279187817,0.004329673728158343,4,3,3,11991,3857,4414
задаваться,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
напомнить,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
содержимый,10,4,5,0.0007816941444002274,0.0008460236886632825,0.000927787227462502,4,3,3,11991,3857,4414
петля,8,0,0,0.001532436574152903,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
кратное,10,0,0,0.0018729780350757704,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
ребро,74,0,0,0.00533997864008544,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
взвесить,13,0,0,0.0023837902264600714,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
расставить,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
натуральный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
вес,18,0,1,0.0013516397524365085,0.00016920473773265651,0.0003092624091541673,4,3,3,11991,3857,4414
такой,32,7,16,0.002347250871327975,0.0013536379018612521,0.002628730477810422,4,3,3,11991,3857,4414
называть,8,0,5,0.001532436574152903,0.00016920473773265651,0.000927787227462502,3,3,3,3820,3857,4414
сумма,4,0,0,0.00035398230088495576,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
весы,7,0,0,0.0005663716814159292,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
весь,23,6,10,0.0017064846416382253,0.0011844331641285956,0.0017009432503479202,4,3,3,11991,3857,4414
он,30,1,23,0.0022045228274783103,0.00033840947546531303,0.003711148909850008,4,3,3,11991,3857,4414
рассмотреть,4,0,1,0.00035466023549439636,0.00016920473773265651,0.0003092624091541673,4,3,3,11991,3857,4414
конечномерной,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
wgn,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
n,22,5,0,0.0016346837242359631,0.0010152284263959391,0.00015463120457708364,4,3,3,11991,3857,4414
прямой,3,0,3,0.0002844141069397042,0.00016920473773265651,0.0006185248183083346,4,3,3,11991,3857,4414
наделить,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
случай,14,1,12,0.002554060956921505,0.00033840947546531303,0.0020102056595020876,3,3,3,3820,3857,4414
обычный,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
ввести,4,4,1,0.0008513536523071684,0.0008460236886632825,0.0003092624091541673,3,3,3,3820,3857,4414
следующий,9,10,5,0.0007084661707403471,0.0018612521150592216,0.000927787227462502,4,3,3,11991,3857,4414
отношение,16,7,2,0.00121048134434634,0.0013536379018612521,0.000463893613731251,4,3,3,11991,3857,4414
эквивалентность,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
множество,38,0,3,0.0027767888928444287,0.00016920473773265651,0.0006185248183083346,4,3,3,11991,3857,4414
где,5,2,0,0.001021624382768602,0.0005076142131979696,0.00015463120457708364,3,3,3,3820,3857,4414
e,14,0,0,0.002554060956921505,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
произвольный,5,0,0,0.0004272287097692965,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
соотношение,15,0,0,0.0027243316873829387,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
полностью,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
совпадать,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
однако,8,0,4,0.0006400227563646707,0.00016920473773265651,0.0007731560228854183,4,3,3,11991,3857,4414
немой,3,0,1,0.0006810829218457347,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
операция,1,0,2,0.00034054146092286734,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
стягивание,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
иметь,12,4,7,0.0009254645119954438,0.0008460236886632825,0.0012370496366166692,4,3,3,11991,3857,4414
другой,9,5,9,0.0007111869710546903,0.0010152284263959391,0.0015463120457708365,4,3,3,11991,3857,4414
смысл,4,0,3,0.0008513536523071684,0.00016920473773265651,0.0006185248183083346,3,3,3,3820,3857,4414
появиться,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
заменяться,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
однократный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
новый,4,1,12,0.00035435861091424523,0.00033840947546531303,0.0020102056595020876,4,3,3,11991,3857,4414
полагаться,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
равный,8,0,0,0.001532436574152903,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
она,14,2,9,0.0010657950831320165,0.0005076142131979696,0.0015463120457708365,4,3,3,11991,3857,4414
образоваться,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
результат,4,5,5,0.0003537568982595161,0.0010152284263959391,0.000927787227462502,4,3,3,11991,3857,4414
становиться,4,0,0,0.00035350678733031673,0.00016920473773265651,0.00015463120457708364,4,3,3,11991,3857,4414
однородный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
три,5,0,2,0.001021624382768602,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
входящая,1,2,0,0.00034054146092286734,0.0005076142131979696,0.00015463120457708364,3,3,3,3820,3857,4414
одинаковый,9,0,0,0.0017027073046143367,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
факторизовать,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
wg,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
по,21,31,13,0.0015640551684913977,0.0054145516074450084,0.0021648368640791713,4,3,3,11991,3857,4414
утверждение,12,3,1,0.0022135194959986377,0.0006768189509306261,0.0003092624091541673,3,3,3,3820,3857,4414
w,19,0,0,0.0034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
действительно,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
коммутативный,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
кокоммутативный,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
оставлять,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
упражнение,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
показать,8,0,1,0.001532436574152903,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
теперь,3,0,1,0.0002834266279316942,0.00016920473773265651,0.0003092624091541673,4,3,3,11991,3857,4414
попасть,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
раздел,1,11,0,0.00034054146092286734,0.0020304568527918783,0.00015463120457708364,3,3,3,3820,3857,4414
зря,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
факторбиалгебра,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
для,38,28,35,0.0027752081406105457,0.004906937394247039,0.005566723364775011,4,3,3,11991,3857,4414
определимый,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
сопоставить,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
графа,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
же,12,0,14,0.0009251352120694563,0.00016920473773265651,0.002319468068656255,4,3,3,11991,3857,4414
хотеть,1,0,1,0.00034054146092286734,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
композиция,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
факторизация,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
модуль,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
эпиморфизм,3,0,0,0.0006810829218457347,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
значит,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
фактор,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
начать,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
доказательство,9,0,0,0.0017027073046143367,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
структурный,1,0,2,0.00034054146092286734,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
теорема,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
аналогичный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
изоморфный,5,0,0,0.001021624382768602,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
s1,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
s2,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
присвоение,1,1,1,0.00034054146092286734,0.00033840947546531303,0.0003092624091541673,3,3,3,3820,3857,4414
si,4,0,0,0.0008513536523071684,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
i,10,1,0,0.0007825282777263997,0.00033840947546531303,0.00015463120457708364,4,3,3,11991,3857,4414
ситуация,2,0,7,0.000510812191384301,0.00016920473773265651,0.0012370496366166692,3,3,3,3820,3857,4414
эквивалентный,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
линейный,5,0,2,0.001021624382768602,0.00016920473773265651,0.000463893613731251,3,3,3,3820,3857,4414
комбинация,2,0,0,0.000510812191384301,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
без,8,0,5,0.001532436574152903,0.00016920473773265651,0.000927787227462502,3,3,3,3820,3857,4414
правый,7,0,6,0.0013621658436914694,0.00016920473773265651,0.0010824184320395857,3,3,3,3820,3857,4414
часть,12,13,12,0.0009221820245442293,0.0023688663282571912,0.0020102056595020876,4,3,3,11991,3857,4414
стоять,2,0,1,0.000510812191384301,0.00016920473773265651,0.0003092624091541673,3,3,3,3820,3857,4414
меньший,1,0,0,0.00034054146092286734,0.00016920473773265651,0.00015463120457708364,3,3,3,3820,3857,4414
чем,2,0,3,0.00021253985122210415,0.00016920473773265651,0.0006185248183083346,4,3,3,11991,3857,4414
левый,8,0,4,0.001532436574152903,0.00016920473773265651,0.0007731560228854183,3,3,3,3820,3857,4414
некоторый,11,0,10,0.0008497981729339282,0.00016920473773265651,0.0017009432503479202,4,3,3,11991,3857,4414
