word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
сеть,0.043611050380580496,0,0,0,0,0,0,0,0,0.04745611564124803,0,0,0,0,0,0,0,0,0,0,0.020113719558412936,0,0,0.08851710952201262,0,0,0,0,0,0.01900688605316915,0,0.06452012335083734,0,0,0,0,0,0,0.021973139153010218,0
появиться,0.05357839509734104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02692351934378328,0,0,0,0,0,0,0,0.050997412996479856,0.029088346357922686
видео,0.10715679019468208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023230920029677814,0,0,0,0,0,0,0,0,0.021890296489089165,0,0,0,0,0,0,0,0,0.025498706498239928,0
празднование,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
игрок,0.08722210076116099,0.046702362213676504,0,0,0,0,0,0,0,0,0,0.04329508637268878,0,0.027403289643212266,0.03612731628606414,0,0,0,0.049230516837866736,0,0,0,0,0,0.016298833709008486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
цска,0.23480925936609717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09447994932370005,0.184064408396938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
кубок,0.11740462968304859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09447994932370005,0.06135480279897933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
гагарин,0.11740462968304859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09447994932370005,0.06135480279897933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
московский,0.05870231484152429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04723997466185002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03707467543772219,0,0,0
отпраздновать,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
победа,0.1308331511417415,0.046702362213676504,0,0.03766160781675353,0,0,0,0,0,0,0.02602498985706706,0,0,0,0.14450926514425655,0,0,0.04150087155204197,0,0.027978364696463087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
в,0.05026774854307468,0.04711093925305278,0.02689273259354628,0.01324827604170734,0.033413208628167074,0.06920185046208036,0.07255124764868148,0.05766820871840029,0.02652033186245258,0.011533641743680057,0.04822055558760694,0.025259119749529785,0.08589622234613992,0.11111368729509107,0.09287292118600982,0.08528942013017843,0.1155701155620072,0.1421879404687419,0.16408015930293063,0.024912616148114346,0.1352642567814266,0.07857205397841358,0.07734567053240132,0.04971405839441725,0.18020431633496634,0.07260017986783265,0.07734567053240132,0.059044521810167186,0.026533437224556717,0.13034147852410305,0.06796567677009792,0.06532423307824764,0.14832543662863476,0.1288785248841639,0.07789123881013134,0.06562033826318124,0.12650063711145684,0.1166783641799889,0.04396988110409749,0.04714655012153737
финал,0.11740462968304859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14171992398555008,0.06135480279897933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
плей-офф,0.04635663582917862,0.049791145843349385,0,0,0,0,0,0,0,0,0,0,0,0,0.038149065570940936,0.04819690806213722,0.04466630527884816,0.04402805815813797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
континентальный,0.05357839509734104,0,0,0,0,0,0,0,0,0,0,0,0.055412812216816903,0,0.04346690648658782,0.05589378307162612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
хоккейный,0.09271327165835724,0,0,0,0,0,0,0,0,0,0,0,0.047815896623035654,0.028734980788939497,0.07629813114188187,0.09639381612427445,0,0.04402805815813797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
лига,0.08722210076116099,0,0,0,0,0,0,0,0,0.04745611564124803,0,0,0.08985536671785188,0.027403289643212266,0.07225463257212827,0.09054138398384161,0,0,0.049230516837866736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
кхл,0.05357839509734104,0,0,0,0,0,0,0,0,0,0,0,0.16623843665045068,0.032237750254335645,0.04346690648658782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
против,0.04635663582917862,0,0.056981184446378695,0,0.0581163129600637,0,0,0,0,0,0,0,0,0,0.038149065570940936,0,0,0.04402805815813797,0.025755732374504896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
омский,0.05870231484152429,0,0,0,0,0,0,0,0,0,0,0,0,0.034723004741035304,0.04723997466185002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
авангард,0.05357839509734104,0,0,0,0,0,0,0,0,0,0,0,0,0.12895100101734258,0.04346690648658782,0.05589378307162612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
передавать,0.04960397417280571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04054028744215725,0,0,0,0.027104626763396148,0,0,0,0,0,0,0,0,0.02751571064475595,0,0,0,0,0.02264286681598682,0,0,0,0,0,0,0
спорт-экспресс,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
быть,0.024912616148114346,0,0.026508103846971567,0.02295701390578501,0,0.025819356029394346,0,0,0.022783975455035813,0,0.08805347226228645,0.024824681825984404,0,0.018333989207105928,0,0.025342097612581882,0,0,0.03369643301397178,0.09314573790115006,0,0.08338912125692688,0,0,0,0.017718007506061995,0,0,0.045225026009603445,0,0.032044896951534986,0.04139686880381813,0,0,0.020334814311492477,0.041996166801335486,0,0,0.030718565006197216,0.016994970863717675
опубликовать,0.05870231484152429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025602567997377205,0,0,0,0,0,0.027311097324785098,0
тот,0.03003653589229761,0,0,0,0,0,0,0,0,0,0.05974937501201927,0,0,0.02081924369380559,0,0,0,0,0.018976613939185087,0,0,0.024064625269881672,0.02292667203397358,0.030340381678083346,0.052447095142690005,0.04009935770065033,0.02292667203397358,0,0,0,0.017970981336231547,0,0.016277555568110693,0,0.02338656062971927,0,0.021898674817543352,0,0,0.03831324901158997
как,0.03003653589229761,0,0,0.05397300838009125,0,0,0,0,0,0,0.01991645833733976,0.029886114744019088,0,0.02081924369380559,0,0,0,0,0,0,0,0.024064625269881672,0.02292667203397358,0,0,0.020049678850325166,0.02292667203397358,0,0.05298273627649773,0,0,0,0.016277555568110693,0.02281615446966193,0.02338656062971927,0.02426609520601297,0.021898674817543352,0,0,0
армеец,0.06592407410968672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052557815577496905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
радоваться,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
завоевание,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
первый,0.034010956816832943,0,0,0,0,0,0.035251415863662997,0.036347435946054434,0,0,0,0.033812067120694234,0,0,0,0,0,0,0.04125505449259953,0.02317831791458931,0,0,0,0,0,0.021858263653063155,0,0,0.029500041922242905,0,0.03896476168548998,0.026324125960429726,0,0.012170940018924239,0,0,0,0,0.09288736435318314,0
история,0.04635663582917862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038149065570940936,0.04819690806213722,0,0.04402805815813797,0,0,0,0.034312129881411614,0,0,0,0,0,0.026138567158715147,0,0,0,0,0,0,0,0,0,0,0,0
свой,0.027807248909065246,0.028923085558221845,0,0.02523337559158135,0,0,0,0.029168859652780384,0.05003395574125302,0,0.018913279194885196,0,0.05660581037518343,0.019737972761818642,0.024489971566130184,0,0,0,0,0,0,0,0,0.028054657049705868,0.03776512791665384,0,0,0.018272073229242982,0.02480377705748418,0,0,0,0,0.010980180918144185,0,0.04568853300034372,0.02071846406171446,0,0,0.01821614405974384
клуб,0.08246543216999074,0,0,0,0.05057017660953926,0,0,0,0,0,0.0499094788481075,0.08189151230775814,0,0.026249726302239835,0.034375997395678724,0,0,0.0393117229390602,0.07088200482691709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
хоккеист,0.05357839509734104,0,0,0,0,0,0,0,0,0,0,0,0,0.032237750254335645,0,0.05589378307162612,0,0.05067535930269656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
расплёскивать,0.0782697531220324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
