title;keywords;annotation;class
A novel approach to fuzzy clustering based on a dissimilarity relation extracted from data using a TS system;"fuzzy clustering; fuzzy identification; similarity relation;";Clustering refers to the process of unsupervised partitioning of a data set based on a dissimilarity measure, which determines the cluster shape. Considering that cluster shapes may change from one cluster to another, it would be of the utmost importance to extract the dissimilarity measure directly from the data by means of a data model. On the other hand, a model construction requires some kind of supervision of the data structure, which is exactly what we look for during clustering. So, the lower the supervision degree used to build the data model, the more it makes sense to resort to a data model for clustering purposes. Conscious of this, we propose to exploit very few pairs of patterns with known dissimilarity to build a TS system which models the dissimilarity relation. Among other things, the rules of the TS system provide an intuitive description of the dissimilarity relation itself. Then we use the TS system to build a dissimilarity matrix which is fed as input to an unsupervised fuzzy relational clustering algorithm, denoted any relation clustering algorithm (ARCA), which partitions the data set based on the proximity of the vectors containing the dissimilarity values between each pattern and all the other patterns in the data set. We show that combining the TS system and the ARCA algorithm allows us to achieve high classification performance on a synthetic data set and on two real data sets. Further, we discuss how the rules of the TS system represent a sort of linguistic description of the dissimilarity relation.;1
A mixture of experts committee machine to design compensators for intensity modulated radiation therapy;"committee machines; neural networks; compensators; radiation therapy;";"This paper presents a new algorithm to produce a near optimal mixture of experts model (MEM) architecture for a continuous mapping. The MEM is applied to a new method incorporating photon scatter for designing compensators for intensity modulated radiation therapy. The algorithm utilizes the fuzzy C-means clustering algorithm to partition data before training commences. A reduction in the size of training sets also allows the Levenberg&ndash;Marquardt algorithm to be implemented. As a result, both training time and validation error are reduced. A 71% reduction in prediction error compared with that of a single neural network is achieved.";1
Recognizing facial action units using independent component analysis and support vector machine;"facial expression recognition; action unit; independent component analysis; support vector machine;";"Facial expression provides a crucial behavioral measure for studies of human emotion, cognitive processes, and social interaction. In this paper, we focus on recognizing facial action units (AUs), which represent the subtle change of facial expressions. We adopt ICA (independent component analysis) as the feature extraction and representation method and SVM (support vector machine) as the pattern classifier. By comparing with three existing systems, such as Tian, Donato, and Bazzo, our proposed system can achieve the highest recognition rates. Furthermore, the proposed system is fast since it takes only 1.8&#xA0;ms for classifying a test image.";1
Efficient bottom-up hybrid hierarchical clustering techniques for protein sequence classification;"hybrid clustering; hierarchical structure; protein sequences; median strings/sequences; prototypes; feature selection; classification accuracy;";"Hybrid hierarchical clustering techniques which combine the characteristics of different partitional clustering techniques or partitional and hierarchical clustering techniques are interesting. In this paper, efficient bottom-up hybrid hierarchical clustering (BHHC) techniques have been proposed for the purpose of prototype selection for protein sequence classification. In the first stage, an incremental partitional clustering technique such as leader algorithm (ordered leader no update (OLNU) method) which requires only one database (db) scan is used to find a set of subcluster representatives. In the second stage, either a hierarchical agglomerative clustering (HAC) scheme or a partitional clustering algorithm&mdash;&lsquo;K-medians&rsquo; is used on these subcluster representatives to obtain a required number of clusters. Thus, this hybrid scheme is scalable and hence would be suitable for clustering large data sets and we also get a hierarchical structure consisting of clusters and subclusters and the representatives of which are used for pattern classification. Even if more number of prototypes are generated, classification time does not increase much as only a part of the hierarchical structure is searched. The experimental results (classification accuracy (CA) using the prototypes obtained and the computation time) of the proposed algorithms are compared with that of the hierarchical agglomerative schemes, K-medians and nearest neighbour classifier (NNC) methods. The proposed methods are found to be computationally efficient with reasonably good CA.";1
Clustering techniques for protein surfaces;"clustering; region growing; template matching; protein surface;";Though most approaches to protein comparison are based on their structure, several studies produced evidence of a strict correlation between the surface characteristics of proteins and the way they interact. Surface-based techniques for protein comparison typically require applying clustering algorithms to the punctual 3D description of the surface in order to produce a compact surface representation, capable of effectively condensing its description. In this paper, we propose a formalization of the requirements for surface clustering in the biochemical context and present two different clustering techniques that meet them, based, respectively, on region-growing and on an original template matching algorithm. We discuss the validity of these techniques with the support of tests performed on a set of about one hundred protein models generated by punctual mutations of four structurally characterized proteins. Finally, an analysis is made of how different factors impact on the effectiveness of clustering in capturing surface similarities.;1
Feature dimensionality reduction for the verification of handwritten numerals;"dimensionality reduction]; hybrid feature extraction; handwritten character recognition and verification; discriminant analysis; artificial neural networks; ocr;";"A novel method based on multi-modal discriminant analysis is proposed to reduce feature di-mensionality. First, each class is divided into several clusters by thek-means algorithm. The optimal discriminant analysis is implemented by multi-modal mapping. Our method utilizes only those training samples on and near the effective decision boundary to generate a between-class scatter matrix, which requires less CPU time than other nonparametric discriminant analysis (NDA) approaches [Fukunaga and Mantock in IEEE Trans PAMI 5(6):671_677, 1983; Bressan and Vitria in Pattern Recognit Lett 24(5):2473_2749, 2003]. In addition, no prior assumptions about class and cluster densities are needed. In order to achieve a high verification performance of confusing handwritten numeral pairs, a hybrid feature extraction scheme is developed, which consists of a set of gradient-based wavelet features and a set of geometric features. Our proposed dimensionality reduction algorithm is used to congregate features, and it outperforms the principal component analysis (PCA) and other NDA approaches. Experiments proved that our proposed method could achieve a high feature compression performance without sacrificing its discriminant ability for classification. As a result, this new method can reduce artificial neural network (ANN) training complexity and make the ANN classifier more reliable.";1
Breast cancer diagnosis using genetic programming generated feature;"feature extraction; genetic programming; fisher discriminant analysis; pattern recognition;";This paper proposes a novel method for breast cancer diagnosis using the feature generated by genetic programming (GP). We developed a new feature extraction measure (modified Fisher linear discriminant analysis (MFLDA)) to overcome the limitation of Fisher criterion. GP as an evolutionary mechanism provides a training structure to generate features. A modified Fisher criterion is developed to help GP optimize features that allow pattern vectors belonging to different categories to distribute compactly and disjoint regions. First, the MFLDA is experimentally compared with some classical feature extraction methods (principal component analysis, Fisher linear discriminant analysis, alternative Fisher linear discriminant analysis). Second, the feature generated by GP based on the modified Fisher criterion is compared with the features generated by GP using Fisher criterion and an alternative Fisher criterion in terms of the classification performance. The classification is carried out by a simple classifier (minimum distance classifier). Finally, the same feature generated by GP is compared with a original feature set as the inputs to multi-layer perceptrons and support vector machine. Results demonstrate the capability of this method to transform information from high-dimensional feature space into one-dimensional space and automatically discover the relationship among data, to improve classification accuracy.;1
A prototype classification method and its use in a hybrid solution for multiclass pattern recognition;"fuzzy c-means clustering algorithm; handwritten character recognition; hybrid classifier; k-means clustering algorithm; prototype learning; support vector machine;";In this paper, we propose a prototype classification method that employs a learning process to determine both the number and the location of prototypes. This learning process decides whether to stop adding prototypes according to a certain termination condition, and also adjusts the location of prototypes using either the K-means (KM) or the fuzzy c-means (FCM) clustering algorithms. When the prototype classification method is applied, the support vector machine (SVM) method can be used to post-process the top-rank candidates obtained during the prototype learning or matching process. We apply this hybrid solution to handwriting recognition and address the convergence behavior and runtime consumption of the prototype construction process, and discuss how to combine our prototype classifier with SVM classifiers to form an effective hybrid classifier.;1
Visual learning and recognition of 3D objects using two-dimensional principal component analysis: A robust and an efficient approach;"principal component analysis; appearance based model; object recognition;";"Inspired by the conviction that the successful model employed for face recognition [M. Turk, A. Pentland, Eigenfaces for recognition, J. Cogn. Neurosci. 3(1) (1991) 71&ndash;86] should be extendable for object recognition [H. Murase, S.K. Nayar, Visual learning and recognition of 3-D objects from appearance, International J. Comput. Vis. 14(1) (1995) 5&ndash;24], in this paper, a new technique called two-dimensional principal component analysis (2D-PCA) [J. Yang et al., Two-dimensional PCA: a new approach to appearance based face representation and recognition, IEEE Trans. Patt. Anal. Mach. Intell. 26(1) (2004) 131&ndash;137] is explored for 3D object representation and recognition. 2D-PCA is based on 2D image matrices rather than 1D vectors so that the image matrix need not be transformed into a vector prior to feature extraction. Image covariance matrix is directly computed using the original image matrices, and its eigenvectors are derived for feature extraction. The experimental results indicate that the 2D-PCA is computationally more efficient than conventional PCA (1D-PCA) [H. Murase, S.K. Nayar, Visual learning and recognition of 3-D objects from appearance, International J. Comput. Vis. 14(1) (1995) 5&ndash;24]. It is also revealed through experimentation that the proposed method is more robust to noise and occlusion.";1
A robust method for detecting facial orientation in infrared images;"infrared images; facial orientation estimation; single linkage clustering; outlier detection;";This paper studies the problem of determining facial orientation without correspondences in distortion-related infrared images. To improve estimation accuracy and reduce sensitivity to noise and unavoidable error, a simple and robust method based on the single linkage clustering is proposed to simultaneously detect inlier set and estimate orientation angle under contaminated data. An iterative strategy is adopted to avoid random choice of link distance in the single linkage clustering. The experimental results indicate that the proposed method is substantially superior to the moment method. This method can also be extended to detect arbitrary objects with mirror symmetrical or nearly symmetrical property.;1
