brightness,dark,middle,light,number_ppl
0,6,0,0,6
1,6,0,0,6
2,6,0,0,6
3,6,0,0,6
4,6,0,0,6
5,6,0,0,6
6,6,0,0,6
7,6,1,0,6
8,5,5,0,6
9,5,1,0,6
10,5,1,0,6
11,5,1,0,6
12,5,1,0,6
13,5,1,0,6
14,5,1,0,6
15,5,1,0,6
16,5,1,1,6
17,5,1,0,6
18,4,2,0,6
19,4,2,0,6
20,4,2,0,6
21,4,2,0,6
22,4,2,0,6
23,1,9,1,11
24,3,3,0,6
25,1,22,0,23
26,3,3,0,6
27,3,3,0,6
28,3,3,0,6
29,3,3,1,6
30,2,4,0,6
31,2,4,0,6
32,2,4,0,6
33,2,4,0,6
34,1,4,1,6
35,1,4,1,6
36,1,4,1,6
37,1,4,1,6
38,1,4,1,6
39,1,4,1,6
40,0,5,1,6
41,0,5,1,6
42,0,5,1,6
43,0,5,1,6
44,0,5,1,6
45,0,5,1,6
46,0,5,1,6
47,0,5,1,6
48,0,5,1,6
49,0,6,0,6
50,0,6,0,6
51,0,6,0,6
52,0,6,0,6
53,0,6,0,6
54,0,6,0,6
55,0,5,1,6
56,0,5,1,6
57,0,5,1,6
58,0,5,1,6
59,0,5,1,6
60,0,4,3,7
61,0,5,1,6
62,0,5,1,6
63,0,5,1,6
64,0,3,3,6
65,0,3,3,6
66,0,3,3,6
67,0,3,3,6
68,0,3,3,6
69,0,3,3,6
70,0,2,4,6
71,0,2,4,6
72,0,2,4,6
73,0,2,4,6
74,0,2,4,6
75,0,2,4,6
76,0,2,4,6
77,0,2,4,6
78,0,2,4,6
79,0,1,5,6
80,0,1,5,6
81,0,1,5,6
82,0,1,5,6
83,0,1,5,6
84,0,1,5,6
85,0,0,5,6
86,0,0,5,6
87,0,0,5,6
88,0,0,5,6
89,0,0,5,6
90,0,0,5,6
91,0,3,7,10
92,0,0,5,6
93,0,0,5,6
94,0,0,5,6
95,0,3,10,13
96,0,0,15,15
97,0,0,6,6
98,0,0,12,12
99,0,0,10,10
100,1,0,6,7
